playerRanking,gamesPlayed,gamesStarted,minutesPlayed,pointsScored,twoPointersMade,twoPointersAttempted,twoPointersPercentage,threePointersMade,threePointersAttempted,threePointersPercentage,freeThrowsMade,freeThrowsAttempted,freeThrowsPercentage,offensiveRebounds,defensiveRebounds,totalRebounds,assists,steals,turnovers,blocks,blocksAgainst,foulsCommited,foulsDrawn,pir,player.code,player.name
92,94.0,37.0,20.65921985815603,7.8,0.5,1.2,41.6%,1.9,5.2,36.9%,1.0,1.1,91.2%,0.2,1.4,1.6,5.3,0.4,2.2,0.0,0.1,1.2,1.2,8.7,011193,"BLATT, TAMIR"
93,103.0,26.0,17.66990291262136,7.3,2.3,4.4,51.9%,0.5,1.5,35.5%,1.2,1.5,79.5%,0.5,1.7,2.2,3.2,0.5,1.5,0.0,0.2,1.4,1.9,8.7,007519,"JOKUBAITIS, ROKAS"
94,107.0,64.0,21.34127725856698,8.9,2.2,3.5,62%,1.1,2.9,38.1%,1.2,1.4,81.8%,1.1,2.7,3.7,1.1,0.4,1.2,0.1,0.2,2.6,1.9,8.7,007109,"SMITS, ROLANDS"
95,104.0,52.0,22.024519230769236,15.5,2.1,4.5,46.8%,3.0,8.1,37.3%,2.2,2.6,85.6%,0.3,1.0,1.3,1.4,0.5,1.6,0.0,0.6,2.5,2.6,8.7,011948,"HOWARD, MARKUS"
96,76.0,30.0,19.4015350877193,9.9,2.1,3.9,52.7%,1.5,4.2,35.7%,1.2,1.6,80.5%,0.3,1.3,1.6,2.5,0.5,1.4,0.0,0.4,1.3,2.2,8.8,007032,"LO, MAODO"
97,72.0,13.0,18.20578703703704,8.5,0.7,1.6,44%,1.7,4.7,36.5%,1.9,2.3,85.3%,0.3,1.3,1.6,5.1,0.5,2.2,0.1,0.2,2.5,2.3,8.9,JDR,"TEODOSIC, MILOS"
98,100.0,35.0,18.68933333333333,7.1,2.5,4.0,63.6%,0.5,1.1,46.2%,0.6,0.7,77%,1.2,2.8,4.0,0.7,0.4,0.8,1.1,0.1,2.0,0.9,9.0,005844,"PAPAGIANNIS, GEORGIOS"
99,55.0,46.0,20.973030303030303,7.7,2.7,5.0,53.1%,0.4,1.6,27%,1.1,1.6,70.1%,0.5,2.1,2.6,3.2,1.1,1.6,0.3,0.2,2.2,2.2,9.1,008985,"BOLMARO, LEANDRO"
100,104.0,66.0,22.08301282051282,6.6,1.7,3.0,56.4%,0.8,2.2,37.4%,0.8,1.3,61.7%,1.2,3.3,4.4,1.5,0.8,1.0,0.4,0.1,2.8,2.2,9.1,002849,"MELLI, NICOLO"
101,101.0,34.0,18.435808580858087,8.8,3.0,5.0,60.6%,0.4,1.3,33.1%,1.4,1.8,78.1%,1.6,1.8,3.5,0.8,0.4,1.0,0.6,0.2,2.1,1.7,9.1,011219,"SORKIN, ROMAN"
102,112.0,99.0,24.696875,7.5,1.6,3.1,52%,1.1,2.7,41.5%,1.0,1.4,66.5%,0.9,2.8,3.7,2.2,0.8,1.4,0.1,0.3,1.9,1.9,9.1,004866,"KALINIC, NIKOLA"
103,55.0,34.0,17.944545454545455,5.6,1.9,3.5,53.6%,0.3,1.0,28.6%,1.0,1.5,64.7%,1.3,2.9,4.3,3.1,0.7,1.7,0.1,0.3,2.1,2.3,9.3,006589,"SIKMA, LUKE"
104,99.0,63.0,24.49090909090909,7.4,1.1,2.2,49.5%,1.5,3.9,38.5%,0.7,0.9,77.6%,1.0,2.6,3.6,3.1,1.0,1.1,0.1,0.2,2.3,1.4,9.3,010391,"WEILER-BABB, NICK"
