player.name,gamesPlayed,minutesPlayed,pointsScored,totalRebounds,assists,steals,blocks,turnovers,twoPointersPercentage,threePointersPercentage,freeThrowsPercentage,pir,price
"COLSON, BONZIE",118.0,24.36638418079096,10.0,4.8,0.6,1.1,0.4,0.7,54.5,37.5,76.3,11.3,9.3
,,,,,,,,,,,,,9.3
,,,,,,,,,,,,,9.3
"WALKUP, THOMAS",107.0,24.401869158878505,6.7,2.7,5.1,1.5,0.1,1.8,50.7,31.9,78.1,9.7,9.2
"VOIGTMANN, JOHANNES",100.0,20.096166666666665,6.2,4.5,2.0,0.4,0.3,1.2,58.8,32.2,65.1,8.5,9.2
,,,,,,,,,,,,,9.2
,,,,,,,,,,,,,9.2
"LOYD, JORDAN",89.0,23.073033707865168,10.8,2.7,2.2,0.9,0.1,1.1,49.2,36.5,89.9,10.6,9.1
,,,,,,,,,,,,,9.1
"MITOGLOU, KONSTANTINOS",77.0,22.075108225108224,8.6,4.5,0.8,0.6,0.2,0.8,54.5,37.7,72.6,9.5,9.0
,,,,,,,,,,,,,9.0
,,,,,,,,,,,,,9.0
"SMAILAGIC, ALEN",90.0,13.87611111111111,6.3,2.4,0.5,0.5,0.5,0.7,64.9,40.9,70.3,6.3,9.0
,,,,,,,,,,,,,9.0
,,,,,,,,,,,,,9.0
,,,,,,,,,,,,,9.0
,,,,,,,,,,,,,8.8
,,,,,,,,,,,,,8.8
,,,,,,,,,,,,,8.8
,,,,,,,,,,,,,8.7
,,,,,,,,,,,,,8.7
,,,,,,,,,,,,,8.6
,,,,,,,,,,,,,8.5
"ULANOVAS, EDGARAS",105.0,26.237301587301587,8.2,3.4,2.4,0.7,0.1,1.4,49.4,36.0,84.1,10.3,8.5
,,,,,,,,,,,,,8.5
"BOLMARO, LEANDRO",55.0,20.973030303030303,7.7,2.6,3.2,1.1,0.3,1.6,53.1,27.0,70.1,9.1,8.5
,,,,,,,,,,,,,8.5
,,,,,,,,,,,,,8.5
,,,,,,,,,,,,,8.5
,,,,,,,,,,,,,8.5
,,,,,,,,,,,,,8.5
,,,,,,,,,,,,,8.5
,,,,,,,,,,,,,8.4
,,,,,,,,,,,,,8.4
,,,,,,,,,,,,,8.3
"NEDOVIC, NEMANJA",84.0,20.498412698412697,12.3,1.5,2.8,0.6,0.1,1.6,51.7,35.5,85.2,10.9,8.3
"BRAZDEIKIS, IGNAS",91.0,17.46923076923077,8.1,2.6,1.1,0.3,0.1,0.9,48.3,27.3,81.7,6.5,8.3
,,,,,,,,,,,,,8.3
,,,,,,,,,,,,,8.2
"WILLIS, DEREK",53.0,17.175786163522012,5.2,3.1,0.6,0.5,0.3,0.5,54.1,40.8,79.5,6.7,8.2
"BLOSSOMGAME, JARON",117.0,20.39273504273504,6.5,3.4,0.3,0.4,0.2,0.4,61.2,27.3,61.5,6.7,8.2
"GRIGONIS, MARIUS",72.0,21.42129629629629,8.4,2.1,1.4,0.5,0.0,1.0,53.8,41.8,86.6,8.0,8.2
"HALL, DEVON",89.0,25.529026217228463,7.9,2.5,2.6,0.8,0.1,1.3,49.5,36.7,83.6,8.5,8.2
"BIBEROVIC, TARIK",80.0,18.216041666666666,8.0,2.4,1.0,0.4,0.1,0.9,50.0,45.5,84.6,6.2,8.2
"BLATT, TAMIR",94.0,20.65921985815603,7.8,1.6,5.3,0.4,0.0,2.2,41.6,36.9,91.2,8.7,8.2
,,,,,,,,,,,,,8.1
,,,,,,,,,,,,,8.1
"BRIZUELA, DARIO",68.0,16.20122549019608,8.0,1.2,1.9,0.3,0.1,1.1,51.6,41.1,78.3,6.2,8.1
,,,,,,,,,,,,,8.1
,,,,,,,,,,,,,8.0
"SPAGNOLO, MATTEO",52.0,20.620512820512825,8.5,2.1,3.6,0.4,0.0,2.3,44.1,24.4,82.9,7.5,8.0
,,,,,,,,,,,,,8.0
,,,,,,,,,,,,,8.0
,,,,,,,,,,,,,8.0
,,,,,,,,,,,,,8.0
,,,,,,,,,,,,,8.0
,,,,,,,,,,,,,8.0
,,,,,,,,,,,,,8.0
,,,,,,,,,,,,,7.9
,,,,,,,,,,,,,7.8
"AVRAMOVIC, ALEKSA",47.0,16.365248226950353,8.3,1.8,1.7,0.7,0.2,1.1,61.5,31.0,75.0,7.1,7.8
,,,,,,,,,,,,,7.8
,,,,,,,,,,,,,7.8
,,,,,,,,,,,,,7.7
,,,,,,,,,,,,,7.7
,,,,,,,,,,,,,7.7
,,,,,,,,,,,,,7.7
,,,,,,,,,,,,,7.7
,,,,,,,,,,,,,7.6
