playerRanking,gamesPlayed,gamesStarted,minutesPlayed,pointsScored,twoPointersMade,twoPointersAttempted,twoPointersPercentage,threePointersMade,threePointersAttempted,threePointersPercentage,freeThrowsMade,freeThrowsAttempted,freeThrowsPercentage,offensiveRebounds,defensiveRebounds,totalRebounds,assists,steals,turnovers,blocks,blocksAgainst,foulsCommited,foulsDrawn,pir,player.code,player.name,league
34,54.0,7.0,13.09783950617284,5.7,0.8,1.7,47.8%,0.9,2.1,41.4%,1.4,1.6,89.7%,0.1,0.9,1.1,0.9,0.3,0.9,0.1,0.1,1.4,1.5,4.9,000956,"ANDJUSIC, DANILO",EuroLeague
35,86.0,38.0,16.372093023255815,6.2,1.5,2.6,58.5%,0.9,2.7,33.5%,0.5,0.6,73.6%,0.4,1.3,1.8,0.9,0.5,0.7,0.0,0.1,1.4,1.0,5.1,004007,"DOBRIC, OGNJEN",EuroLeague
36,102.0,8.0,17.31078431372549,6.9,0.9,2.2,39.3%,1.4,4.4,30.9%,1.1,1.4,81.9%,0.2,1.1,1.3,2.2,0.3,0.9,0.0,0.1,1.4,1.5,5.1,TGB,"LLULL, SERGIO",EuroLeague
37,83.0,23.0,15.146586345381529,5.8,1.0,1.9,50%,0.9,2.3,38.4%,1.2,1.5,81.1%,0.2,0.6,0.8,1.7,0.4,0.8,0.0,0.2,1.6,1.8,5.3,008099,"STRAZEL, MATTHEW",EuroLeague
38,80.0,16.0,15.943958333333333,4.5,1.0,1.8,56.8%,0.7,1.5,45.5%,0.3,0.5,64.3%,0.4,1.6,1.9,1.1,0.5,0.4,0.0,0.2,1.2,0.8,5.3,006509,"TONUT, STEFANO",EuroLeague
39,83.0,28.0,15.862449799196789,5.6,1.1,2.1,51.4%,0.9,2.1,42.5%,0.8,1.0,79.7%,0.4,1.2,1.6,1.3,0.6,0.8,0.2,0.1,1.6,1.1,5.4,001392,"CAUSEUR, FABIEN",EuroLeague
40,59.0,22.0,16.095197740112994,4.5,1.0,1.6,60.4%,0.6,1.6,38.7%,0.7,0.9,78.4%,0.4,2.0,2.4,0.6,0.5,0.4,0.3,0.1,1.5,1.1,5.5,007960,"DAVIDOVAC, DEJAN",EuroLeague
41,99.0,31.0,17.293265993265994,6.2,0.5,1.1,49.1%,1.5,3.4,43.9%,0.7,0.8,87.2%,0.6,1.4,2.0,0.7,0.5,0.5,0.2,0.1,2.3,1.4,5.6,003478,"ABRINES, ALEX",EuroLeague
42,68.0,12.0,15.57230392156863,4.4,1.8,3.0,60.6%,0.0,0.0,0%,0.8,1.1,67.9%,1.2,1.7,2.9,1.1,0.5,0.8,0.5,0.3,2.2,1.1,5.6,002812,"HINES, KYLE",EuroLeague
43,93.0,29.0,19.052688172043013,4.1,0.7,1.4,48.4%,0.7,2.1,34.5%,0.6,0.8,75%,0.4,1.6,2.0,3.2,1.0,1.1,0.1,0.2,2.5,1.3,5.6,006739,"PAJOLA, ALESSANDRO",EuroLeague
44,101.0,15.0,16.455940594059406,5.4,0.3,0.9,38.5%,1.3,3.0,41.4%,1.0,1.0,96.1%,0.7,1.3,1.9,1.0,0.7,0.4,0.0,0.1,2.1,1.8,5.8,007990,"DIBARTOLOMEO, JOHN",EuroLeague
