playerRanking,gamesPlayed,gamesStarted,minutesPlayed,pointsScored,twoPointersMade,twoPointersAttempted,twoPointersPercentage,threePointersMade,threePointersAttempted,threePointersPercentage,freeThrowsMade,freeThrowsAttempted,freeThrowsPercentage,offensiveRebounds,defensiveRebounds,totalRebounds,assists,steals,turnovers,blocks,blocksAgainst,foulsCommited,foulsDrawn,pir,player.code,player.name,player.age,player.imageUrl,player.team.code,player.team.tvCodes,player.team.name,player.team.imageUrl
102,22.0,2.0,16.453787878787878,8.5,1.5,3.1,50%,0.9,3.6,25.3%,2.6,3.1,85.3%,0.1,0.7,0.8,2.2,0.6,1.3,0.0,0.4,2.0,2.9,6.5,011970,"HARPER, JARED",26,https://media-cdn.incrowdsports.com/8d5ed5cf-154c-4dbb-924e-d56d7a62cbdc.png,PAM,VBC,Valencia Basket,https://media-cdn.cortextech.io/d88f3c71-1519-4b19-8cfb-99e26a4c008e.png
103,36.0,6.0,17.251851851851853,5.0,1.6,2.7,59.2%,0.4,1.2,34.9%,0.5,0.9,61.3%,1.0,2.5,3.5,0.9,0.6,0.9,0.8,0.1,1.8,0.8,6.6,012731,"NDIAYE, MBAYE",25,https://media-cdn.incrowdsports.com/c4e02827-3285-4414-9da3-f24d0f9eef59.png,ASV,ASV,LDLC ASVEL Villeurbanne,https://media-cdn.incrowdsports.com/e33c6d1a-95ca-4dbc-b8cb-0201812104cc.png
104,53.0,13.0,17.175786163522012,5.2,0.9,1.6,54.1%,1.0,2.4,40.8%,0.6,0.7,79.5%,0.9,2.2,3.1,0.6,0.5,0.5,0.3,0.1,1.1,1.0,6.7,009664,"WILLIS, DEREK",29,https://media-cdn.incrowdsports.com/0b9cdea0-6e57-4257-bcb5-232e9704e702.png,IST,EFS,Anadolu Efes Istanbul,https://media-cdn.cortextech.io/9a463aa2-ceb2-481c-9a95-1cddee0a248e.png
105,56.0,14.0,11.773809523809524,5.7,2.4,3.8,63.6%,0.0,0.0,0%,0.8,1.4,58.4%,1.3,1.9,3.2,0.4,0.4,0.8,0.2,0.2,1.7,1.4,6.7,002581,"JAITEH, MAM",30,https://media-cdn.incrowdsports.com/81504ec9-fd6b-4124-afbf-bed470352312.png,MCO,ASM,AS Monaco,https://media-cdn.incrowdsports.com/89ed276a-2ba3-413f-8ea2-b3be209ca129.png
106,54.0,20.0,17.581481481481482,6.4,1.3,2.3,56.1%,1.0,2.2,45.4%,0.9,1.1,80.7%,0.5,1.4,1.9,1.3,0.6,0.8,0.2,0.1,1.6,1.2,6.7,001392,"CAUSEUR, FABIEN",37,https://media-cdn.incrowdsports.com/c02a4dc6-4b7f-4b9e-89ae-10a8ed78fd34.png,MAD;MIL,RMB;EA7,Real Madrid;EA7 Emporio Armani Milan,https://media-cdn.incrowdsports.com/1a3e1404-4f6f-4ede-9d8b-30eee7cb51b4.png;https://media-cdn.cortextech.io/9512ee73-a0f1-4647-a01e-3c2938aba6b8.png
107,37.0,15.0,16.82162162162162,7.6,1.7,3.4,50.8%,1.1,3.2,34.5%,0.9,1.0,86.5%,0.6,2.7,3.3,0.8,0.5,1.3,0.2,0.1,1.2,1.0,6.8,013363,"NWORA, JORDAN",26,https://media-cdn.incrowdsports.com/ada69e44-57ed-4020-9a48-79e549c394e5.png,IST,EFS,Anadolu Efes Istanbul,https://media-cdn.cortextech.io/9a463aa2-ceb2-481c-9a95-1cddee0a248e.png
108,63.0,38.0,19.866402116402114,5.3,1.0,2.2,45.7%,0.8,2.0,38.4%,1.0,1.3,81.3%,0.4,2.2,2.6,2.7,0.6,1.2,0.0,0.2,2.5,2.2,6.9,001844,"HACKETT, DANIEL",37,https://media-cdn.incrowdsports.com/f5d3ffc5-6ed4-43a7-9c66-674c0ac86187.png,VIR,VIR,Virtus Bologna,https://media-cdn.cortextech.io/1362801d-dd09-4fd0-932d-ead56063ab77.png
109,55.0,29.0,19.26636363636364,6.8,1.7,2.8,60.9%,0.8,2.2,38.3%,0.8,1.0,83.6%,0.6,2.0,2.6,1.1,0.6,0.6,0.3,0.2,1.9,1.0,6.9,012795,"ANDERSON, JUSTIN",31,https://media-cdn.incrowdsports.com/3baf817d-a882-4f75-80ac-f5a9b39ea1b4.png,PAM;BAR,VBC;BAR,Valencia Basket;FC Barcelona,https://media-cdn.cortextech.io/d88f3c71-1519-4b19-8cfb-99e26a4c008e.png;https://media-cdn.incrowdsports.com/35dfa503-e417-481f-963a-bdf6f013763e.png
110,32.0,22.0,16.525520833333335,6.0,2.6,4.1,64.1%,0.0,0.2,0%,0.7,1.8,41.1%,1.9,2.0,3.9,0.7,0.6,1.2,0.9,0.3,2.8,1.8,7.0,013383,"GABRIEL, WENYEN",27,https://media-cdn.incrowdsports.com/10610be7-c458-49cf-a11e-da2060fb358f.png,TEL;PAN,MTA;PAO,Maccabi Rapyd Tel Aviv;Panathinaikos AKTOR Athens,https://media-cdn.incrowdsports.com/5c55ef14-29df-4328-bd52-a7a64c432350.png;https://media-cdn.incrowdsports.com/e3dff28a-9ec6-4faf-9d96-ecbc68f75780.png
110,35.0,23.0,20.14428571428571,7.9,1.7,3.2,54%,1.0,3.1,33.3%,1.4,1.7,80%,0.2,1.2,1.4,3.6,0.6,2.0,0.0,0.2,2.3,1.8,7.0,011064,"MANNION, NICCOLO",23,https://media-cdn.incrowdsports.com/8e9a611c-a223-4154-975c-4ed970661b11.png,BAS;MIL,BKN;EA7,Baskonia Vitoria-Gasteiz;EA7 Emporio Armani Milan,https://media-cdn.incrowdsports.com/e324a6af-2a72-443e-9813-8bf2d364ddab.png;https://media-cdn.cortextech.io/9512ee73-a0f1-4647-a01e-3c2938aba6b8.png
110,22.0,8.0,19.052272727272726,5.7,1.2,2.1,55.3%,1.0,2.9,35.9%,0.2,0.2,100%,0.3,1.5,1.7,3.8,0.6,1.3,0.1,0.3,1.3,0.7,7.0,008062,"MCDOWELL-WHITE, WILL",26,https://media-cdn.incrowdsports.com/5792acea-0096-41c4-8604-c9dad4cf9b06.png,BER,BER,ALBA Berlin,https://media-cdn.incrowdsports.com/ccc34858-22b0-47dc-904c-9940b0a16ff3.png
110,34.0,11.0,16.54264705882353,8.4,1.0,1.9,51.5%,1.7,4.3,38.8%,1.4,2.0,69.1%,0.6,2.0,2.6,0.8,0.5,1.1,0.1,0.1,1.5,1.5,7.0,007029,"SIRVYDIS, DEIVIDAS",24,https://media-cdn.incrowdsports.com/0f7c26fa-a1c7-49fd-bcef-3d833fed5736.png,ZAL,ZAL,Zalgiris Kaunas,https://media-cdn.incrowdsports.com/0aa09358-3847-4c4e-b228-3582ee4e536d.png
110,60.0,18.0,15.445833333333333,6.8,2.0,3.0,66.1%,0.6,1.5,38.2%,1.1,1.6,73.1%,1.1,1.5,2.5,0.5,0.5,0.8,0.5,0.2,2.3,1.7,7.0,011051,"SMAILAGIC, ALEN",24,https://media-cdn.incrowdsports.com/4df94e70-a8c3-4448-8474-6f63d77d7517.png,PAR;ZAL,PAR;ZAL,Partizan Mozzart Bet Belgrade;Zalgiris Kaunas,https://media-cdn.incrowdsports.com/2681304e-77dd-4331-88b1-683078c0fb49.png;https://media-cdn.incrowdsports.com/0aa09358-3847-4c4e-b228-3582ee4e536d.png
115,27.0,4.0,16.96358024691358,4.9,1.6,2.4,65.2%,0.4,1.2,30.3%,0.6,1.0,60.7%,0.3,1.6,1.9,2.9,0.9,1.1,0.0,0.1,1.7,1.4,7.0,004863,"JOVIC, STEFAN",33,https://media-cdn.incrowdsports.com/c4ac0a9d-d109-4e57-8835-43c67f1f2e62.png,PAM,VBC,Valencia Basket,https://media-cdn.cortextech.io/d88f3c71-1519-4b19-8cfb-99e26a4c008e.png
116,70.0,0.0,16.390714285714285,7.4,1.6,2.7,60.8%,0.9,2.7,32.6%,1.5,2.2,67.7%,0.6,1.3,1.9,1.4,0.7,1.0,0.0,0.2,1.4,1.8,7.0,007853,"MCKISSIC, SHAQUIELLE",34,https://media-cdn.incrowdsports.com/0c13355b-b760-4c81-87d1-0c612cf8aa8a.png,OLY,OLY,Olympiacos Piraeus,https://media-cdn.incrowdsports.com/789423ac-3cdf-4b89-b11c-b458aa5f59a6.png
117,68.0,13.0,19.63235294117647,8.9,1.3,2.6,51.1%,1.8,3.9,46.2%,0.8,0.9,86.9%,0.7,2.0,2.7,1.1,0.4,1.0,0.1,0.2,2.2,0.9,7.1,006961,"BIBEROVIC, TARIK",23,https://media-cdn.incrowdsports.com/bcefd4a2-4919-486a-a06a-44e5ac6efdf5.png,ULK,FBB,Fenerbahce Beko Istanbul,https://media-cdn.cortextech.io/3b7f020e-5b39-49a1-b4b2-efea918edab7.png
118,58.0,20.0,18.163218390804598,7.2,1.1,2.3,48.9%,1.1,2.8,39.4%,1.5,1.8,83.2%,0.3,0.7,1.1,2.2,0.5,0.8,0.0,0.2,1.7,2.2,7.1,008099,"STRAZEL, MATTHEW",22,https://media-cdn.incrowdsports.com/15bebd90-1b9f-42b9-99fb-ced9102c9aad.png,MCO,ASM,AS Monaco,https://media-cdn.incrowdsports.com/89ed276a-2ba3-413f-8ea2-b3be209ca129.png
119,40.0,14.0,16.83625,4.5,1.2,2.5,48.5%,0.6,1.4,39.3%,0.5,0.6,73.1%,1.3,2.3,3.6,0.8,0.7,0.6,0.4,0.2,1.2,1.4,7.2,012721,"BEAN, JUSTIN",28,https://media-cdn.incrowdsports.com/541ed5f5-5882-4d0c-aa98-b5859dd37030.png,BER,BER,ALBA Berlin,https://media-cdn.incrowdsports.com/ccc34858-22b0-47dc-904c-9940b0a16ff3.png
120,68.0,36.0,14.068627450980392,6.4,2.7,4.2,64.1%,0.0,0.0,0%,1.0,1.6,60.7%,1.1,2.1,3.2,0.5,0.2,0.8,0.5,0.2,2.0,1.6,7.2,005504,"BIRUTIS, LAURYNAS",27,https://media-cdn.incrowdsports.com/b3a77237-9548-4094-8536-a910283e5184.png,ZAL,ZAL,Zalgiris Kaunas,https://media-cdn.incrowdsports.com/0aa09358-3847-4c4e-b228-3582ee4e536d.png
121,33.0,9.0,18.953535353535354,7.7,1.7,3.1,55.3%,1.0,3.2,32.7%,1.1,1.5,77.1%,0.6,1.9,2.5,1.2,0.4,0.7,0.2,0.2,1.3,1.5,7.2,012609,"MALCOLM, COLLIN",27,https://media-cdn.incrowdsports.com/ea60dcd4-4e2c-4a2f-a40c-0ed6badffccc.png,PRS,PBB,Paris Basketball,https://media-cdn.incrowdsports.com/a033e5b3-0de7-48a3-98d9-d9a4b9df1f39.png
