playerRanking,gamesPlayed,gamesStarted,minutesPlayed,pointsScored,twoPointersMade,twoPointersAttempted,twoPointersPercentage,threePointersMade,threePointersAttempted,threePointersPercentage,freeThrowsMade,freeThrowsAttempted,freeThrowsPercentage,offensiveRebounds,defensiveRebounds,totalRebounds,assists,steals,turnovers,blocks,blocksAgainst,foulsCommited,foulsDrawn,pir,player.code,player.name,player.age,player.imageUrl,player.team.code,player.team.tvCodes,player.team.name,player.team.imageUrl
32,73.0,28.0,13.351141552511415,5.1,1.3,2.4,54%,0.5,1.6,32.2%,0.9,1.1,85.7%,0.3,0.8,1.2,1.8,0.6,0.9,0.2,0.1,1.7,1.2,4.9,011052,"MADAR, YAM",24,https://media-cdn.cortextech.io/126d85f2-b7cf-4c51-bbe7-bbb8fde2bf9f.png,PAR;ULK;MUN,PAR;FBB;BAY,Partizan Mozzart Bet Belgrade;Fenerbahce Beko Istanbul;FC Bayern Munich,https://media-cdn.incrowdsports.com/2681304e-77dd-4331-88b1-683078c0fb49.png;https://media-cdn.cortextech.io/3b7f020e-5b39-49a1-b4b2-efea918edab7.png;https://media-cdn.incrowdsports.com/817b0e58-d595-4b09-ab0b-1e7cc26249ff.png
33,87.0,47.0,15.964942528735632,4.3,0.7,1.4,52.5%,0.8,1.9,40.2%,0.5,0.7,79.3%,0.4,1.8,2.1,1.4,0.4,0.4,0.0,0.1,1.6,0.6,4.9,003733,"ABALDE, ALBERTO",29,https://media-cdn.incrowdsports.com/192d6d61-9180-4b9a-91c0-eff940b1f27e.png,MAD,RMB,Real Madrid,https://media-cdn.incrowdsports.com/1a3e1404-4f6f-4ede-9d8b-30eee7cb51b4.png
34,54.0,7.0,13.09783950617284,5.7,0.8,1.7,47.8%,0.9,2.1,41.4%,1.4,1.6,89.7%,0.1,0.9,1.1,0.9,0.3,0.9,0.1,0.1,1.4,1.5,4.9,000956,"ANDJUSIC, DANILO",32,https://media-cdn.incrowdsports.com/09afdf60-b0bf-4e1a-808e-5c9387634da5.png,PAR,PAR,Partizan Mozzart Bet Belgrade,https://media-cdn.incrowdsports.com/2681304e-77dd-4331-88b1-683078c0fb49.png
35,86.0,38.0,16.372093023255815,6.2,1.5,2.6,58.5%,0.9,2.7,33.5%,0.5,0.6,73.6%,0.4,1.3,1.8,0.9,0.5,0.7,0.0,0.1,1.4,1.0,5.1,004007,"DOBRIC, OGNJEN",30,https://media-cdn.incrowdsports.com/a22ad126-7b94-446e-87f2-6ec6b8709388.png,VIR;RED,VIR;CZV,Virtus Bologna;Crvena Zvezda Meridianbet Belgrade,https://media-cdn.cortextech.io/1362801d-dd09-4fd0-932d-ead56063ab77.png;https://media-cdn.incrowdsports.com/d2eef4a8-62df-4fdd-9076-276004268515.png
36,102.0,8.0,17.31078431372549,6.9,0.9,2.2,39.3%,1.4,4.4,30.9%,1.1,1.4,81.9%,0.2,1.1,1.3,2.2,0.3,0.9,0.0,0.1,1.4,1.5,5.1,TGB,"LLULL, SERGIO",37,https://media-cdn.incrowdsports.com/c0c0c586-9005-47a5-970d-86b57458701d.png,MAD,RMB,Real Madrid,https://media-cdn.incrowdsports.com/1a3e1404-4f6f-4ede-9d8b-30eee7cb51b4.png
37,83.0,23.0,15.146586345381527,5.8,1.0,1.9,50%,0.9,2.3,38.4%,1.2,1.5,81.1%,0.2,0.6,0.8,1.7,0.4,0.8,0.0,0.2,1.6,1.8,5.3,008099,"STRAZEL, MATTHEW",22,https://media-cdn.incrowdsports.com/15bebd90-1b9f-42b9-99fb-ced9102c9aad.png,MCO,ASM,AS Monaco,https://media-cdn.incrowdsports.com/89ed276a-2ba3-413f-8ea2-b3be209ca129.png
38,80.0,16.0,15.943958333333333,4.5,1.0,1.8,56.8%,0.7,1.5,45.5%,0.3,0.5,64.3%,0.4,1.6,1.9,1.1,0.5,0.4,0.0,0.2,1.2,0.8,5.3,006509,"TONUT, STEFANO",31,https://media-cdn.incrowdsports.com/4fccbbc2-857f-4da1-9dab-fc44b47fe75f.png,MIL,EA7,EA7 Emporio Armani Milan,https://media-cdn.cortextech.io/9512ee73-a0f1-4647-a01e-3c2938aba6b8.png
39,83.0,28.0,15.862449799196787,5.6,1.1,2.1,51.4%,0.9,2.1,42.5%,0.8,1.0,79.7%,0.4,1.2,1.6,1.3,0.6,0.8,0.2,0.1,1.6,1.1,5.4,001392,"CAUSEUR, FABIEN",37,https://media-cdn.incrowdsports.com/c02a4dc6-4b7f-4b9e-89ae-10a8ed78fd34.png,MAD;MIL,RMB;EA7,Real Madrid;EA7 Emporio Armani Milan,https://media-cdn.incrowdsports.com/1a3e1404-4f6f-4ede-9d8b-30eee7cb51b4.png;https://media-cdn.cortextech.io/9512ee73-a0f1-4647-a01e-3c2938aba6b8.png
40,59.0,22.0,16.095197740112994,4.5,1.0,1.6,60.4%,0.6,1.6,38.7%,0.7,0.9,78.4%,0.4,2.0,2.4,0.6,0.5,0.4,0.3,0.1,1.5,1.1,5.5,007960,"DAVIDOVAC, DEJAN",29,https://media-cdn.incrowdsports.com/7c9b47c4-d0ca-4827-bb68-3ad4f5d4e2c3.png,RED,CZV,Crvena Zvezda Meridianbet Belgrade,https://media-cdn.incrowdsports.com/d2eef4a8-62df-4fdd-9076-276004268515.png
41,99.0,31.0,17.293265993265994,6.2,0.5,1.1,49.1%,1.5,3.4,43.9%,0.7,0.8,87.2%,0.6,1.4,2.0,0.7,0.5,0.5,0.2,0.1,2.3,1.4,5.6,003478,"ABRINES, ALEX",31,https://media-cdn.incrowdsports.com/47795ee0-c812-487a-be8a-67900a5ab8d5.png,BAR,BAR,FC Barcelona,https://media-cdn.incrowdsports.com/35dfa503-e417-481f-963a-bdf6f013763e.png
42,68.0,12.0,15.57230392156863,4.4,1.8,3.0,60.6%,0.0,0.0,0%,0.8,1.1,67.9%,1.2,1.7,2.9,1.1,0.5,0.8,0.5,0.3,2.2,1.1,5.6,002812,"HINES, KYLE",37,https://media-cdn.incrowdsports.com/24f75c32-e4db-499d-b2e6-d46f52986033.png,MIL,EA7,EA7 Emporio Armani Milan,https://media-cdn.cortextech.io/9512ee73-a0f1-4647-a01e-3c2938aba6b8.png
43,93.0,29.0,19.052688172043013,4.1,0.7,1.4,48.4%,0.7,2.1,34.5%,0.6,0.8,75%,0.4,1.6,2.0,3.2,1.0,1.1,0.1,0.2,2.5,1.3,5.6,006739,"PAJOLA, ALESSANDRO",25,https://media-cdn.incrowdsports.com/6541f280-b115-4758-b184-13631cba587a.png,VIR,VIR,Virtus Bologna,https://media-cdn.cortextech.io/1362801d-dd09-4fd0-932d-ead56063ab77.png
44,101.0,15.0,16.455940594059406,5.4,0.3,0.9,38.5%,1.3,3.0,41.4%,1.0,1.0,96.1%,0.7,1.3,1.9,1.0,0.7,0.4,0.0,0.1,2.1,1.8,5.8,007990,"DIBARTOLOMEO, JOHN",33,https://media-cdn.incrowdsports.com/d849757d-0a4d-47b8-82aa-ddca5eb1f7bc.png,TEL,MTA,Maccabi Rapyd Tel Aviv,https://media-cdn.incrowdsports.com/5c55ef14-29df-4328-bd52-a7a64c432350.png
45,72.0,3.0,14.984722222222224,4.7,0.8,1.9,44.2%,0.9,2.4,36.2%,0.4,0.4,84.4%,0.2,1.3,1.5,4.3,0.5,1.3,0.0,0.1,2.0,0.9,5.8,CVM,"RODRIGUEZ, SERGIO",37,https://media-cdn.incrowdsports.com/d605b7e7-d619-4620-93b1-5979b22592bc.png,MAD,RMB,Real Madrid,https://media-cdn.incrowdsports.com/1a3e1404-4f6f-4ede-9d8b-30eee7cb51b4.png
46,62.0,51.0,15.409408602150538,5.7,1.5,2.7,54.2%,0.7,1.8,37.5%,0.8,0.8,94.1%,0.8,2.0,2.8,0.9,0.5,0.8,0.1,0.2,1.7,1.1,6.0,012710,"OSMANI, ERCAN",26,https://media-cdn.incrowdsports.com/73c6e2d2-b8f4-45cf-998f-3c7c5efb2e4f.png,IST,EFS,Anadolu Efes Istanbul,https://media-cdn.incrowdsports.com/8ea8cec7-d8f7-45f4-a956-d976b5867610.png
