playerRanking,gamesPlayed,gamesStarted,minutesPlayed,pointsScored,twoPointersMade,twoPointersAttempted,twoPointersPercentage,threePointersMade,threePointersAttempted,threePointersPercentage,freeThrowsMade,freeThrowsAttempted,freeThrowsPercentage,offensiveRebounds,defensiveRebounds,totalRebounds,assists,steals,turnovers,blocks,blocksAgainst,foulsCommited,foulsDrawn,pir,player.code,player.name,price,fantasy_points_total,fantasy_points_per_game,value_score
151.0,22.0,11.0,18.456060606060607,10.3,2.4,3.5,68.4%,1.5,3.5,43.6%,1.0,1.5,65.6%,1.3,3.0,4.3,1.0,1.0,0.7,0.5,0.2,1.9,1.5,12.3,010444,"COSTELLO, MATTHEW",10.6,12.200000000000001,0.5545454545454546,0.05231560891938251
128.0,35.0,34.0,25.374285714285715,10.3,3.0,5.8,52.5%,1.1,3.7,30.5%,0.9,1.2,71.4%,0.6,2.5,3.1,4.6,0.6,2.1,0.0,0.4,2.3,1.8,10.0,009048,"MILLER-MCINTYRE, CODI",10.5,9.900000000000002,0.2828571428571429,0.02693877551020409
116.0,40.0,4.0,16.43208333333333,8.1,1.6,2.8,55.3%,1.2,2.2,52.3%,1.5,1.6,93.8%,1.0,1.7,2.6,0.8,0.3,0.4,0.0,0.2,1.6,1.8,9.0,008829,"PETERS, ALEC",10.5,9.100000000000001,0.22750000000000004,0.02166666666666667
,,,,,,,,,,,,,,,,,,,,,,,,,,"WRIGHT, MOSES",10.5,,,
105.0,22.0,14.0,20.37954545454545,11.4,1.3,3.6,36.2%,2.1,5.0,42.7%,2.3,2.8,82.3%,1.3,2.3,3.5,0.5,0.4,1.2,0.2,0.7,1.1,2.1,9.5,011982,"OJELEYE, SEMI",10.5,9.400000000000002,0.42727272727272736,0.040692640692640704
,,,,,,,,,,,,,,,,,,,,,,,,,,"DIALLO, HAMIDOU",10.5,,,
82.0,23.0,4.0,17.328260869565216,7.4,2.1,3.6,59%,0.7,1.8,39%,1.1,1.5,71.4%,0.9,2.8,3.7,0.7,0.7,0.9,0.7,0.1,2.7,1.6,8.2,012096,"CABOCLO, BRUNO",10.4,8.099999999999998,0.35217391304347817,0.03386287625418059
140.0,34.0,30.0,25.762254901960784,12.4,2.6,4.5,57.5%,2.0,4.3,46.9%,1.1,1.2,92.9%,0.7,2.4,3.0,2.1,0.8,1.4,0.2,0.4,2.1,1.3,11.5,012720,"BROWN, STERLING",10.4,11.600000000000001,0.34117647058823536,0.0328054298642534
158.0,34.0,34.0,26.347549019607843,8.2,1.1,2.0,56.7%,1.8,4.1,43.5%,0.7,1.0,72.7%,1.3,2.9,4.1,4.9,1.5,1.6,0.1,0.1,2.5,1.6,12.9,010391,"WEILER-BABB, NICK",10.4,12.700000000000003,0.37352941176470594,0.035916289592760185
,,,,,,,,,,,,,,,,,,,,,,,,,,"WRIGHT, MCKINLEY",10.4,,,
136.0,27.0,13.0,24.224691358024693,11.1,3.0,6.3,47.6%,0.9,3.0,30.9%,2.3,2.9,79.7%,0.6,2.0,2.7,3.7,0.9,2.1,0.1,0.3,2.1,3.0,11.0,009863,"BALDWIN IV, WADE",10.3,11.0,0.4074074074074074,0.03955411722402013
74.0,37.0,15.0,16.82162162162162,7.6,1.7,3.4,50.8%,1.1,3.2,34.5%,0.9,1.0,86.5%,0.6,2.7,3.3,0.8,0.5,1.3,0.2,0.1,1.2,1.0,6.8,013363,"NWORA, JORDAN",10.3,6.899999999999999,0.18648648648648644,0.018105484124901594
137.0,38.0,4.0,16.58815789473684,8.8,3.6,5.0,71.6%,0.0,0.0,0%,1.6,2.3,68.5%,2.0,2.2,4.2,0.5,0.5,1.1,1.0,0.3,2.4,2.2,11.1,012788,"OTURU, DAN",10.3,11.299999999999999,0.29736842105263156,0.02887072049054675
154.0,33.0,27.0,21.975252525252525,9.0,3.8,5.6,68.1%,0.0,0.0,0%,1.4,2.4,57%,2.7,3.4,6.2,0.8,0.8,0.9,0.5,0.4,2.8,2.1,12.4,010545,"SAKO, NEAL",10.3,12.500000000000004,0.3787878787878789,0.036775522212415424
150.0,33.0,23.0,23.36060606060606,12.9,4.0,6.9,57.7%,0.9,2.8,34.1%,2.2,2.6,84.7%,1.7,2.4,4.1,1.1,0.5,1.5,0.5,0.4,2.5,2.3,11.9,011219,"SORKIN, ROMAN",10.2,11.799999999999999,0.35757575757575755,0.035056446821152706
179.0,13.0,13.0,28.764102564102565,13.5,3.3,6.6,50%,1.3,2.9,44.7%,3.0,3.2,92.9%,0.7,2.8,3.5,4.6,0.8,2.5,0.0,0.2,1.9,4.0,16.6,008858,"ENNIS, TYLER",10.2,16.700000000000003,1.284615384615385,0.12594268476621423
125.0,39.0,34.0,23.705128205128204,5.9,1.7,3.3,50%,0.6,1.8,34.7%,0.7,1.0,67.5%,0.8,2.4,3.2,5.3,0.9,1.8,0.1,0.1,2.3,1.6,9.7,002939,"SATORANSKY, TOMAS",10.1,9.700000000000005,0.24871794871794883,0.024625539477024637
,,,,,,,,,,,,,,,,,,,,,,,,,,"RIVERO, JASIEL",10.1,,,
147.0,21.0,12.0,21.034920634920635,7.7,2.4,3.5,68.9%,0.6,1.0,61.9%,1.0,1.3,71.4%,1.5,4.3,5.8,1.9,0.3,1.3,0.2,0.1,2.0,1.6,12.2,010393,"PRADILLA, JAIME",10.1,12.299999999999999,0.5857142857142856,0.05799151343705799
,,,,,,,,,,,,,,,,,,,,,,,,,,"TAYLOR, BRANDON",10.1,,,
131.0,41.0,32.0,26.865040650406502,8.6,1.8,3.2,55%,1.2,2.8,43%,1.5,1.8,84.7%,0.4,1.8,2.1,3.2,0.9,0.8,0.1,0.2,2.0,2.2,10.6,011204,"GRANT, JERIAN",10.1,10.799999999999997,0.2634146341463414,0.026080656846172418
,,,,,,,,,,,,,,,,,,,,,,,,,,"ATAMAN, ERGIN",10.0,,,
108.0,35.0,20.0,22.90619047619048,8.6,2.1,4.5,47.8%,0.7,2.0,35.7%,2.2,2.7,82.8%,0.2,1.9,2.1,3.4,0.7,1.8,0.1,0.2,2.7,2.3,8.6,007982,"WILLIAMS-GOSS, NIGEL",10.0,8.3,0.23714285714285716,0.023714285714285716
,,,,,,,,,,,,,,,,,,,,,,,,,,"SAMANIC, LUKA",10.0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,"STEVENS, LAMAR",10.0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,"MOORE, OMARI",10.0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,"DIAKITE, MAMADI",10.0,,,
