Player,fantasy_points_mean,fantasy_points_std,fantasy_points_sum,fantasy_points_max,Minutes_mean,Points_mean,TotalRebounds_mean,Assistances_mean,Valuation_mean,Team_first,games_played,player.name,price,value_score,consistency,points_per_credit
"VOIGTMANN, JOHANNES",9.166666666666666,6.90962062220909,330.0,25.0,23.643055555555556,6.5,4.944444444444445,2.4166666666666665,9.166666666666666,MUN,36.0,"VOIGTMANN, JOHANNES",9.2,0.9963768115942029,0.12642831404481553,0.9963768115942029
"LOYD, JORDAN",8.971428571428572,7.394297143887366,314.0,25.0,21.197619047619046,9.4,2.8857142857142857,1.7142857142857142,8.971428571428572,TEL,35.0,"LOYD, JORDAN",9.1,0.9858712715855573,0.11912849674712658,0.9858712715855573
"MITOGLOU, KONSTANTINOS",5.641025641025641,7.08031808491227,220.0,25.0,16.146153846153847,6.0,2.923076923076923,0.6153846153846154,5.641025641025641,PAN,39.0,"MITOGLOU, KONSTANTINOS",9.0,0.6267806267806268,0.12375750428281031,0.6267806267806268
"JANTUNEN, MIKAEL",9.5,6.433653075189235,361.0,21.0,25.513157894736842,7.5,4.842105263157895,1.0263157894736843,9.5,PRS,38.0,"JANTUNEN, MIKAEL",9.0,1.0555555555555556,0.1345233615135508,1.0555555555555556
"SMAILAGIC, ALEN",7.793103448275862,6.061466762289869,226.0,25.0,15.004597701149425,8.137931034482758,2.896551724137931,0.41379310344827586,7.793103448275862,ZAL,29.0,"SMAILAGIC, ALEN",9.0,0.8659003831417624,0.14161363830815843,0.8659003831417624
"DOZIER JR, PERRY",8.833333333333334,5.338539126015656,159.0,19.0,18.461111111111112,8.333333333333334,2.2222222222222223,2.888888888888889,8.833333333333334,IST,18.0,"DOZIER JR, PERRY",9.0,0.9814814814814815,0.15776505912784203,0.9814814814814815
"YURTSEVEN, OMER",9.35483870967742,8.627662437751313,290.0,34.0,14.579569892473117,8.387096774193548,4.0,0.5806451612903226,9.35483870967742,PAN,31.0,"YURTSEVEN, OMER",8.8,1.063049853372434,0.10386737242457424,1.063049853372434
"LEE, SABEN",8.454545454545455,7.169560474854604,186.0,26.0,16.666666666666668,7.045454545454546,1.9090909090909092,2.090909090909091,8.454545454545455,TEL,22.0,"LEE, SABEN",8.8,0.9607438016528925,0.12240560591698138,0.9607438016528925
"WASHINGTON, DUANE",4.5,7.695283705254005,108.0,27.0,11.521527777777777,6.041666666666667,0.875,1.375,4.5,PAR,24.0,"WASHINGTON, DUANE",8.5,0.5294117647058824,0.11500487320451243,0.5294117647058824
"ULANOVAS, EDGARAS",8.176470588235293,5.446547909958414,278.0,20.0,22.367156862745098,6.5588235294117645,2.8529411764705883,1.8235294117647058,8.176470588235293,ZAL,34.0,"ULANOVAS, EDGARAS",8.5,0.9619377162629758,0.15512178207118155,0.9619377162629758
"BOLMARO, LEANDRO",8.5,6.766091929614909,221.0,22.0,21.541025641025637,6.653846153846154,2.269230769230769,2.9615384615384617,8.5,MIL,26.0,"BOLMARO, LEANDRO",8.5,1.0,0.12876489347063216,1.0
"DORSEY, TYLER",1.3,4.4267992640437095,39.0,16.0,6.7461111111111105,2.2,0.6333333333333333,0.7,1.3,OLY,30.0,"DORSEY, TYLER",8.4,0.15476190476190477,0.18427068173051658,0.15476190476190477
"NEDOVIC, NEMANJA",8.333333333333334,7.615773105863908,225.0,28.0,18.57469135802469,9.185185185185185,1.4444444444444444,2.8518518518518516,8.333333333333334,RED,27.0,"NEDOVIC, NEMANJA",8.3,1.0040160642570282,0.11606619483971768,1.0040160642570282
"BRAZDEIKIS, IGNAS",7.064516129032258,6.791835706056538,219.0,22.0,16.516129032258064,7.645161290322581,3.0,1.3225806451612903,7.064516129032258,ZAL,31.0,"BRAZDEIKIS, IGNAS",8.3,0.8511465215701515,0.1283394616781649,0.8511465215701515
"MORGAN, MATTHEW",7.617647058823529,7.058262752531883,259.0,21.0,18.65686274509804,7.823529411764706,1.7352941176470589,2.5588235294117645,7.617647058823529,VIR,34.0,"MORGAN, MATTHEW",8.2,0.9289813486370158,0.12409622653292149,0.9289813486370158
"WILLIS, DEREK",3.0256410256410255,3.943596938724178,118.0,14.0,7.98034188034188,2.1794871794871793,1.6666666666666667,0.2564102564102564,3.0256410256410255,IST,39.0,"WILLIS, DEREK",8.2,0.36898061288305195,0.20228186326575315,0.36898061288305195
"BLOSSOMGAME, JARON",9.125,6.2396067430321525,365.0,24.0,24.065,7.725,4.125,0.525,9.125,MCO,40.0,"BLOSSOMGAME, JARON",8.2,1.1128048780487805,0.13812904975293888,1.1128048780487805
"GRIGONIS, MARIUS",2.2,3.8340579025361627,11.0,9.0,9.166666666666666,2.4,0.6,0.8,2.2,PAN,5.0,"GRIGONIS, MARIUS",8.2,0.26829268292682934,0.20686554033110677,0.26829268292682934
